latitud,longitud
40.867403,-73.906405
40.758245,-73.776954
40.758245,-73.776954
40.636324,-74.019228
40.589167,-73.960707
40.589167,-73.960707
40.68106,-73.84554
40.68106,-73.84554
40.587162,-74.194747
40.756892,-73.991771
40.621698,-74.02567
40.639469,-74.076912
40.762442,-74.000055
40.755072,-73.892094
40.86334,-73.900066
40.630898,-74.168358
40.714723,-74.005143
40.581432,-74.097694
40.721853,-73.956658
40.717522,-73.997302
40.780976,-73.980414
40.753356,-73.971685
40.66179,-73.79282
40.846205,-73.876513
40.762502,-73.924507
40.878532,-73.916201
40.680168,-73.946022
40.693999,-73.983809
40.692635,-73.969935
40.689457,-73.978606
40.719338,-73.963081
40.696848,-73.983071
40.695115,-73.990993
40.694841,-73.982849
40.71949,-73.963312
40.69306,-73.987222
40.692579,-73.985252
40.677412,-73.990986
40.691469,-73.985446
40.692941,-74.000298
40.692062,-73.99816
40.702882,-73.990594
40.65601,-73.940902
40.701461,-73.995566
40.719425,-73.963964
40.715033,-73.958595
40.688086,-73.979234
40.698707,-73.992365
40.689016,-73.988672
40.693122,-73.985696
40.693248,-73.981744
40.672884,-73.971541
40.702194,-73.98672
40.719751,-73.954866
40.722137,-73.956583
40.767948,-73.867784
40.75674,-73.836223
40.718526,-73.83648
40.743049,-73.959245
40.747589,-73.942612
40.745627,-73.955638
40.76073,-73.985995
40.79136,-73.952155
40.74556,-73.985539
40.782031,-73.959484
40.737171,-73.994331
40.772742,-73.979503
40.734939,-73.989409
40.775474,-73.989763
40.788614,-73.97118
40.735736,-73.988745
40.738371,-73.99688
40.788008,-73.971611
40.775065,-73.988572
40.745603,-73.98185
40.750013,-73.978525
40.736973,-73.99787
40.732085,-73.995829
40.779211,-73.960949
40.755856,-73.984313
40.787402,-73.950546
40.76306,-73.968409
40.732519,-73.995135
40.716268,-74.009491
40.741554,-73.995403
40.749073,-73.990032
40.760648,-73.974193
40.762234,-73.979036
40.76351,-73.979364
40.762855,-73.977795
40.704514,-74.01074
40.77592,-73.98313
40.745432,-73.97956
40.776813,-73.977083
40.734006,-74.009079
40.76139,-73.968269
40.773256,-73.959334
40.740243,-73.997591
40.742821,-73.980913
40.746022,-73.978693
40.763279,-73.98086
40.737891,-73.994058
40.771555,-73.986428
40.773415,-73.959234
40.721713,-73.987533
40.793158,-73.970319
40.764261,-73.982974
40.737108,-74.000358
40.778412,-73.988294
40.770601,-73.960531
40.714821,-73.987138
40.772574,-73.981951
40.735706,-73.995058
40.716256,-74.012543
40.744916,-73.980228
40.765108,-73.963389
40.768283,-73.961149
40.783536,-73.949507
40.775283,-73.981627
40.759437,-73.96767
40.762678,-73.965447
40.797359,-73.968718
40.781547,-73.980475
40.762568,-73.982718
40.736293,-73.991939
40.798108,-73.968204
40.780027,-73.982823
40.751867,-73.972873
40.779338,-73.987493
40.746304,-73.995064
40.729234,-73.999013
40.786099,-73.977303
40.765844,-73.982481
40.782212,-73.95023
40.764748,-73.982676
40.708165,-74.016641
40.707679,-74.004687
40.76332,-73.962938
40.78098,-73.951145
40.751847,-73.971348
40.742407,-73.999351
40.795624,-73.971961
40.77373,-73.989713
40.710786,-74.006017
40.78411,-73.980641
40.785296,-73.947487
40.719869,-74.007447
40.797743,-73.960441
40.715071,-74.012203
40.762411,-73.984495
40.744244,-73.984116
40.770772,-73.981795
40.757146,-73.966135
40.760462,-73.964086
40.769947,-73.956989
40.759127,-73.964684
40.717686,-74.010613
40.730017,-73.985512
40.756722,-73.97406
40.721801,-74.004237
40.737533,-73.980437
40.723617,-74.010915
40.760098,-73.988828
40.76696,-73.983569
40.747478,-73.98504
40.753079,-73.968032
40.746851,-73.972901
40.767879,-73.983656
40.735597,-74.007693
40.746565,-73.971591
40.711145,-74.016332
40.781413,-73.946377
40.782091,-73.946029
40.77364,-73.963722
40.77438,-73.963157
40.774511,-73.952039
40.758586,-73.991341
40.775123,-73.951193
40.764617,-73.969764
40.719825,-74.010137
40.743405,-73.974735
40.741515,-74.004608
40.705922,-74.010175
40.78567,-73.954593
40.721437,-74.001238
40.744467,-73.990662
40.743971,-73.971882
40.716079,-74.015929
40.80443,-73.961373
40.802151,-73.961705
40.728287,-73.992746
40.779876,-73.958579
40.766971,-73.987441
40.755363,-73.963841
40.766708,-73.955483
40.755289,-73.963804
40.75552,-73.962734
40.746847,-74.001816
40.758519,-73.961272
40.752641,-73.965187
40.748757,-73.943417
40.716966,-73.996707
40.775968,-73.947846
40.811187,-73.963571
40.80155,-73.948499
40.740458,-73.989037
40.706965,-74.017971
40.752205,-74.001493
40.754709,-73.973391
40.742059,-73.992694
40.766736,-73.951891
40.774207,-73.96282
40.75277,-74.00265
40.776461,-73.944363
40.714266,-74.009921
40.745842,-73.990103
40.803963,-73.966032
40.749255,-74.005914
40.737122,-73.996119
40.74979,-74.005335
40.753049,-74.003333
40.747962,-73.976569
40.742735,-73.974296
40.729364,-74.008513
40.76476,-73.976153
40.717143,-73.991597
40.783085,-73.956304
40.772712,-73.947045
40.78859,-73.97118
40.761018,-73.99878
40.770709,-73.991725
40.730487,-73.993569
40.738733,-74.006009
40.721658,-74.004402
40.772681,-73.945488
40.77108,-73.993142
40.731887,-73.991906
40.762189,-73.999714
40.70663,-74.016916
40.784831,-73.982085
40.7615893,-73.9752106
40.734412,-74.007184
40.710019,-74.004385
40.775374,-73.989687
40.793877,-73.967498
40.740939,-74.00824
40.770292,-73.967735
40.747299,-73.981039
40.794519,-73.963445
40.764259,-73.974972
40.731257,-73.992101
40.776574,-73.96047
40.773004,-73.966152
40.707738,-74.016845
40.750844,-73.986188
40.513465,-74.251418
40.7464805,-73.8922584
40.717153,-73.991869
40.735082,-73.87067
40.7710075,-73.8430625
40.669936,-73.963069
40.6775259,-73.9657852
40.7185092,-73.9648207
40.6685202,-73.9904888
40.711729,-73.967698
40.720708,-73.96231
40.6732353,-73.9862323
40.6781552,-73.9904425
40.718054,-73.951847
40.6832871,-73.9735893
40.698671,-73.959625
40.7538611,-73.823669
40.755839,-73.8806563
40.7119045,-73.8267727
40.7416517,-73.9361599
40.7515557,-73.9414058
40.7759529,-73.949738
40.705115,-74.008089
40.659333,-74.006419
40.758305,-73.980311
40.701647,-73.803843
40.7537571,-73.9783437999999
40.735874,-73.815819
40.764495,-73.996651
40.756766,-73.967481
40.768432,-73.984033
40.7297,-73.991565
40.764655,-73.9761
40.737537,-74.00983
40.755093,-73.955605
40.745011,-73.957424
40.75619,-73.8363
40.74793,-73.974556
40.73487,-73.87038
40.64572,-73.779384
40.645841,-73.779222
40.682964,-73.96582
40.863231,-73.828839
40.683715,-73.974337
40.707998,-73.866983
40.749296,-74.006017
40.735608,-73.983111
40.797771,-73.96142
40.762331,-73.825583
40.686983,-73.980498
40.836588,-73.941328
40.852461,-73.934084
40.848358,-73.931743
40.736562,-73.959195
40.629216,-74.111537
40.735496,-73.985024
40.847422,-73.937922
40.790046,-73.972531
40.681953,-73.964405
40.709803,-74.015771
40.693476,-73.982605
40.695154,-73.983861
40.728618,-73.856054
40.758956,-73.832331
40.760965,-73.829807
40.674312,-73.98488
40.687913,-73.983039
40.683126,-73.982088
40.7560685,-73.9204663
40.77364,-73.91352
40.761959,-73.829813
40.732255,-73.866674
40.816777,-73.947435
40.747676,-73.956012
40.719885,-73.83857
40.7623317,-73.9269683
40.880142,-73.907385
40.7218556,-73.8491057
40.776957,-73.90115
40.749941,-73.939887
40.766554,-73.952905
40.705133,-73.801443
40.588091,-74.089936
40.803934,-73.966049
40.527543,-74.23131
40.760856,-73.829765
40.86095,-73.889379
40.700302,-73.972272
40.765313,-73.955553
40.719319,-73.988197
40.850625,-73.881132
40.726232,-73.895705
40.773116,-73.874977
40.773009,-73.875324
40.77033,-73.865683
40.791267,-73.952039
40.894881,-73.860525
40.879718,-73.880394
40.70182,-73.986824
40.821451,-73.877642
